Jack Johnson,Tennessee,3
Keith Perry,Florida,3
Kelly Keisling,Tennessee,3
Edward Jackson,Tennessee,3
Marcus Richmond,Arkansas,3
George Santos,US,3
Randy Gross,South Dakota,3
Lawrence Grooms,South Carolina,3
Lisa Meier,North Dakota,3
Gex Williams,Kentucky,3
Lee Anderson,Georgia,3
Randy Bridges,Kentucky,3
Kathleen Kauth,Nebraska,3
Marty Harbin,Georgia,3
Gary Vandeaver,Texas,3
Mark Johnson,Arkansas,3
Kent Weston,North Dakota,3
Kronda Thimesch,Texas,3
Jon Hansen,South Dakota,3
Elaine Davis,Tennessee,3
Johnny Rye,Arkansas,3
Joanna King,Indiana,3
Josh Bonner,Georgia,3
Janie Lopez,Texas,3
James Tipton,Kentucky,3
Karla Lems,South Dakota,3
Matt Brass,Georgia,3
Matt Gaetz,US,3
Ralph Massullo,Florida,3
Matt Lockett,Kentucky,3
Glenn Grothman,US,3
Karen Anderson,North Dakota,3
Glenn Rogers,Texas,3
Greg Bonnen,Texas,3
Matt Stone,Arkansas,3
Harlan Vincent,New Mexico,3
Justin Sparks,Missouri,3
Eddie Settle,North Carolina,3
J.M. Lozano,Texas,3
Johnny Garrett,Tennessee,3
Jacey Jetton,Texas,3
Michael Guest,US,3
Matthew Ruby,North Dakota,3
Jeremy Faison,Tennessee,3
Jerome Moon,Tennessee,3
Jay Dean,Texas,3
John Smithee,Texas,3
Jay Reedy,Tennessee,3
John Mills,South Dakota,3
Micheal Bergstrom,Oklahoma,3
Jeff Van Drew,US,3
Jeremy Haroldson,Wyoming,3
Mary Coleman,Missouri,3
Jim Olsen,Oklahoma,3
John Kavanagh,Arizona,3
Mike Sparks,Tennessee,3
Joe White,South Carolina,3
Jessica Baker,Florida,3
John Albers,Georgia,3
Jim Gooch,Kentucky,3
John Block,New Mexico,3
Mike Braun,US,3
Mike Bost,US,3
Steve Carra,Michigan,2
Patrick Flannery,Kentucky,2
Richard White,Kentucky,2
Martha Lawley,Wyoming,2
Ryan Zinke,US,2
Phillip Scott,Virginia,2
Michael Waltz,US,2
Michael Testa,New Jersey,2
Tom Woods,Oklahoma,2
Sean Bennett,South Carolina,2
Richard Hudson,US,2
Mary Imes,Kentucky,2
Theresa Manzella,Montana,2
Troy Balderson,US,2
Tom Leatherwood,Tennessee,2
Tyler Dees,Arkansas,2
Scotty Campbell,Tennessee,2
Mike Devault,West Virginia,2
Tom Cotton,US,2
Rick Allen,US,2
Mike Wobbema,North Dakota,2
Michael Gambrell,South Carolina,2
Thomas Hall,Ohio,2
Michael Pollock,Kentucky,2
Thomas Davis,South Carolina,2
Scott Richardson,Arkansas,2
Tom Young,Ohio,2
Stan McClain,Florida,2
Randy Feenstra,US,2
Scott Wiggam,Ohio,2
Richard McCormick,US,2
Stan Lambert,Texas,2
Reggie Stoltzfus,Ohio,2
Patrick Fallon,US,2
Missy Irvin,Arkansas,2
Terry O'Donnell,Oklahoma,2
Sabi Kumar,Tennessee,2
Sherrie Conley,Oklahoma,2
Steve Bratcher,Kentucky,2
Michael Petersen,Utah,2
Clint Penzo,Arkansas,2
Matt McKee,Arkansas,2
Dan Dockstader,Wyoming,2
James Hieb,Oregon,2
Craig Goldman,Texas,2
Curtis Trent,Missouri,2
James Adams,North Carolina,2
D. J. Swearingen,Ohio,2
Dale DeVon,Indiana,2
Jake Johnson,North Carolina,2
Dan Crenshaw,US,2
Dan Eubanks,Mississippi,2
Val Guest,South Carolina,2
Dan Laursen,Wyoming,2
Jared Olsen,Wyoming,2
Chuck Payne,Georgia,2
Christopher Wooten,South Carolina,2
Jeffrey McNeely,North Carolina,2
Carlos Gimenez,US,2
Michael Lee,North Carolina,2
Joe Pike,North Carolina,2
Cole Christensen,North Dakota,2
Jason Bean,Missouri,2
Cindy Hyde-Smith,US,2
Clay Yarborough,Florida,2
Sam Watson,Georgia,2
Sam Harless,Texas,2
Phillip Wheeler,Kentucky,2
Mike Wilson,Kentucky,2
Mary Littleton,Tennessee,2
Jon Lancaster,Mississippi,2
Drew Springer,Texas,2
Claire Cory,North Dakota,2
Jeff Taylor,Iowa,2
Jeff Tate,Mississippi,2
Jeff Shipley,Iowa,2
Clarence Styvar,Wyoming,2
Clark Boyd,Tennessee,2
Jeff Hoverson,North Dakota,2
Jeanine Notter,New Hampshire,2
Jeanette Ward,Wyoming,2
Jay Taylor,West Virginia,2
Rachel Rodriguez-Williams,Wyoming,2
Steven Oroho,New Jersey,2
Tom Tiffany,US,2
Ron Estes,US,2
Steve Demetriou,Ohio,2
Michele Carringer,Tennessee,2
