Sponsors,State,Number,Count
Lowell Russell,Tennessee,['HB0571'],1
Luke Meerman,Michigan,['HB4257'],1
Lupe Diaz,Arizona,['HB2312'],1
Lydia Chassaniol,Mississippi,['SB2760'],1
Lynn Evans,Iowa,"[""SF83'"", ""'SF110""]",2
Lynn Findley,Oregon,"[""SB452'"", ""'SB453'"", ""'SB897""]",3
Lynn Hutchings,Wyoming,"[""SF0144'"", ""'SF0159'"", ""'SF0172'"", ""'SF0133""]",4
Lynn Stucky,Texas,"[""HB1686'"", ""'HB23""]",2
Mano DeAyala,Texas,"[""HB1686'"", ""'HB23""]",2
Marco Rubio,US,"[""SB187'"", ""'SB200'"", ""'SB435'"", ""'SB635'"", ""'SR53""]",5
Marcus Molinaro,US,['HB5'],1
Marcus Richmond,Arkansas,"[""SB294'"", ""'HB1468'"", ""'HB1615""]",3
Marianne Proctor,Kentucky,"[""HB470'"", ""'HB173'"", ""'HB177'"", ""'HB30'"", ""'HB58""]",5
Mariannette Miller-Meeks,US,"[""HB734'"", ""'HB5""]",2
Marie March,Virginia,"[""HB1387'"", ""'HB1399'"", ""'HB2432""]",3
Marilyn John,Ohio,['HB68'],1
Marilyn Stark,Oklahoma,['HB1449'],1
Mario Diaz-Balart,US,['HB5'],1
Marjorie Greene,US,"[""HB1399'"", ""'HB5""]",2
Mark Amodei,US,['HB5'],1
Mark Cochran,Tennessee,"[""HB0001'"", ""'HB0009'"", ""'HB1269'"", ""'HB0030""]",4
Mark Dorazio,Texas,"[""HB1155'"", ""'HB1686'"", ""'HB23'"", ""'HB3164'"", ""'HB888""]",5
Mark Duncan,New Mexico,"[""HB394'"", ""'HB492""]",2
Mark Fisher,Maryland,['HB359'],1
Mark Green,US,"[""HB734'"", ""'HB5""]",2
Mark Hart,Kentucky,"[""HB173'"", ""'HB177""]",2
Mark Higley,Vermont,['H0183'],1
Mark Jennings,Wyoming,"[""HB0234'"", ""'SF0111'"", ""'SF0159'"", ""'SF0172'"", ""'SF0133""]",5
Mark Johnson,Arkansas,"[""SB270'"", ""'SB294'"", ""'HB1468""]",3
Mark Johnson,Ohio,"[""HB68'"", ""'HB6""]",2
Mark Lepak,Oklahoma,"[""HB2546'"", ""'HB2340""]",2
Mark Lofgren,Iowa,['SF83'],1
Mark Maynard,West Virginia,"[""SB103'"", ""'SB252'"", ""'SB517'"", ""'SB692'"", ""'SB697""]",5
Mark McBride,Oklahoma,['HB2546'],1
Mark Messmer,Indiana,['SB0480'],1
Mark Newton,Georgia,['HB653'],1
Mark Peake,Virginia,"[""SB960'"", ""'SB962""]",2
Mark Pearson,New Hampshire,['HB396'],1
Mark Pody,Tennessee,"[""SB0003'"", ""'SB0596'"", ""'SB0620""]",3
Mark Ross,West Virginia,['HB3183'],1
Mark Steffen,Kansas,['SB12'],1
Mark Tullos,Mississippi,['HB1125'],1
Mark White,Tennessee,"[""HB0001'"", ""'HB0571""]",2
Mark Willis,South Carolina,"[""H3728'"", ""'H3485'"", ""'H3551'"", ""'H3551""]",4
Markwayne Mullin,US,['SB635'],1
Marsha Blackburn,US,['SB435'],1
Martha Lawley,Wyoming,"[""SF0111'"", ""'SF0133""]",2
Martin Carbaugh,Indiana,['HB1346'],1
Martin Graber,Iowa,['HF2'],1
Marty Harbin,Georgia,"[""SB140'"", ""'SB141'"", ""'SB88""]",3
Marty Overweg,South Dakota,"[""HB1116'"", ""'HB1125'"", ""'HB1080""]",3
Marvin Smith,South Carolina,"[""H3197'"", ""'H3485'"", ""'H3551'"", ""'H3551'"", ""'H3827""]",5
Mary Bentley,Arkansas,"[""HB1156'"", ""'SB199'"", ""'SB294'"", ""'SB43'"", ""'HB1468'"", ""'HB1615""]",6
Mary Coleman,Missouri,"[""SB39'"", ""'SB49'"", ""'SB377""]",3
Mary Imes,Kentucky,"[""HB470'"", ""'HB177""]",2
Mary Littleton,Tennessee,['HB0001'],1
Mary Miller,US,"[""HB734'"", ""'HB736'"", ""'HR115'"", ""'HB1112'"", ""'HB1399'"", ""'HB5""]",6
Matt Brass,Georgia,"[""SB140'"", ""'SB141'"", ""'SB88""]",3
Matt Brown,Arkansas,['SB294'],1
Matt Duffield,Arkansas,['SB294'],1
Matt Gaetz,US,"[""HB429'"", ""'HB734'"", ""'HB985""]",3
Matt Lockett,Kentucky,"[""HB470'"", ""'HB173'"", ""'HB177""]",3
Matt McKee,Arkansas,"[""SB294'"", ""'SB43""]",2
Matt Morgan,Maryland,['HB359'],1
Matt Rosendale,US,['HB1399'],1
Matt Schaefer,Texas,"[""HB1155'"", ""'HB1686'"", ""'HB23'"", ""'HB2722""]",4
Matt Stone,Arkansas,"[""SB270'"", ""'SB294'"", ""'SB43""]",3
Matt Windschitl,Iowa,['HF2'],1
Matthew Heilman,North Dakota,['SB2260'],1
Matthew Leber,South Carolina,"[""H3728'"", ""'H3197'"", ""'H3485'"", ""'H3551'"", ""'H3551'"", ""'H3616""]",6
Matthew Ruby,North Dakota,"[""HB1301'"", ""'HB1332'"", ""'HB1297""]",3
Matthew Shaheen,Texas,"[""HB1155'"", ""'HB1686'"", ""'HB23'"", ""'HB708'"", ""'HB888""]",5
Matthew Shepherd,Arkansas,['SB294'],1
Max Burns,Georgia,['SB141'],1
Max Miller,US,"[""HB734'"", ""'HB5""]",2
Mayes Middleton,Texas,"[""SB162'"", ""'SB649'"", ""'SB14'"", ""'SB15""]",4
Mazzie Boyd,Missouri,"[""HB463'"", ""'HB498""]",2
Melanie Miller,Ohio,"[""HB68'"", ""'HB6""]",2
Melanie Scheible,Nevada,['SB302'],1
Melanie Sojourner,Mississippi,"[""SB2760'"", ""'SB2861'"", ""'SB2864""]",3
Melissa Oremus,South Carolina,"[""H3197'"", ""'H3485'"", ""'H3551'"", ""'H3551""]",4
Michael Burgess,US,['HB5'],1
Michael Doherty,New Jersey,['S585'],1
Michael Gambrell,South Carolina,['S0332'],1
Michael Griffith,Maryland,['HB359'],1
Michael Guest,US,"[""HB734'"", ""'HR115'"", ""'HB5""]",3
Michael Hale,Tennessee,['HB0001'],1
Michael Hornby,West Virginia,['HB3503'],1
Michael Kennedy,Utah,['SB0016'],1
Michael Lawler,US,['HB5'],1
Michael Lazzara,North Carolina,['S49'],1
Michael Lee,North Carolina,['S49'],1
Michael McCaul,US,['HB5'],1
Michael McLendon,Mississippi,['SB2760'],1
Michael Motschenbacher,North Dakota,['HB1333'],1
Michael Petersen,Utah,"[""SB0283'"", ""'HB0228""]",2
Michael Pollock,Kentucky,"[""HB177'"", ""'HB30""]",2
Michael Soboleski,Maine,['LD678'],1
Michael Testa,New Jersey,"[""S585'"", ""'S589""]",2
Michael Waltz,US,"[""HB734'"", ""'HB5""]",2
Michael Young,Indiana,['SB0480'],1
Micheal Bergstrom,Oklahoma,"[""SB408'"", ""'SB613'"", ""'SB866""]",3
Michele Carringer,Tennessee,"[""HB0001'"", ""'HB0571""]",2
Michelle Davis,Indiana,"[""HB1608'"", ""'SB0480'"", ""'HB1220'"", ""'HB1232""]",4
Michelle Fischbach,US,['HB5'],1
Michelle Salzman,Florida,"[""H1069'"", ""'H1069""]",2
Michelle Steel,US,['HB5'],1
Michelle Strinden,North Dakota,['HB1139'],1
Mike Azinger,West Virginia,"[""SB252'"", ""'SB253'"", ""'SB278'"", ""'SB697""]",4
Mike Beltran,Florida,['H0991'],1
Mike Bost,US,"[""HB734'"", ""'HB5""]",2
Mike Braun,US,"[""SB435'"", ""'SB635""]",2
Mike Carey,US,['HB5'],1
Mike Cierpiot,Missouri,['SB14'],1
Mike Crapo,US,['SB200'],1
Mike Devault,West Virginia,"[""HB2007'"", ""'HB3176""]",2
Mike Dwyer,North Dakota,['HB1301'],1
Mike Ezell,US,"[""HB734'"", ""'HB5""]",2
Mike Garcia,US,['HB5'],1
Mike Gaskill,Indiana,['SB0480'],1
Mike Hoadley,Michigan,['HB4257'],1
Mike Johnson,US,"[""HB1276'"", ""'HB734'"", ""'HB5""]",3
Mike Kelly,US,['HB5'],1
Mike Kingsley,Idaho,['H0071'],1
Mike Lee,US,['SR53'],1
Mike Lefor,North Dakota,['HB1205'],1
Mike Moon,Missouri,"[""SB134'"", ""'SB39'"", ""'SB49'"", ""'SB48""]",4
Mike Sparks,Tennessee,"[""HB0001'"", ""'HB0009'"", ""'HB0571""]",3
Mike Stuart,West Virginia,['SB697'],1
Mike Thompson,Kansas,['SB12'],1
Mike Thompson,Mississippi,['SB2760'],1
Mike Volz,Washington,['HB1233'],1
Mike Vondran,Iowa,['HF2'],1
Mike Wilson,Kentucky,"[""SB115'"", ""'SB150""]",2
Mike Wobbema,North Dakota,"[""HB1489'"", ""'SB2260""]",2
Mindy McAlindon,Arkansas,"[""HB1156'"", ""'SB294'"", ""'SB43'"", ""'HB1468""]",4
Missy Irvin,Arkansas,"[""SB270'"", ""'SB294""]",2
Monica De La Cruz,US,['HB734'],1
Monica Robb Blasdel,Ohio,['HB68'],1
Monty Fritts,Tennessee,"[""HB0001'"", ""'HB0009'"", ""'HB0030'"", ""'HB0878'"", ""'HB1378""]",5
Morgan Griffith,US,['HB734'],1
Morgan Meyer,Texas,"[""HB1686'"", ""'HB23""]",2
Myron Dossett,Kentucky,['HB177'],1
Nancy Mace,US,"[""HB734'"", ""'HB5""]",2
Nancy Tate,Kentucky,"[""HB470'"", ""'HB173'"", ""'HB177'"", ""'HB30'"", ""'HB58""]",5
Natalie Zeleznikar,Minnesota,['HF551'],1
Nate Schatzline,Texas,"[""HB1155'"", ""'HB1266'"", ""'HB1532'"", ""'HB1686'"", ""'HB23'"", ""'HB4534""]",6
Nathan Dahm,Oklahoma,"[""SB613'"", ""'SB250'"", ""'SB251'"", ""'SB252""]",4
Nathan Toman,North Dakota,['HB1332'],1
Nathaniel Moran,US,"[""HB736'"", ""'HB5""]",2
Neal Dunn,US,"[""HB734'"", ""'HB736""]",2
Neal Pinnow,South Dakota,['HB1080'],1
Neil Friske,Michigan,['HB4257'],1
Neil Whaley,Mississippi,['SB2760'],1
Nicholas Freitas,Virginia,['HB1387'],1
Nicholas Langworthy,US,['HB5'],1
Nicholaus Kipke,Maryland,['HB359'],1
Nick Bain,Mississippi,['HB1125'],1
Nick LaLota,US,['HB734'],1
Nick Santucci,Ohio,['HB6'],1
Nick Schroer,Missouri,['SB49'],1
Nico Rios,North Dakota,['HB1526'],1
Nicole Malliotakis,US,['HB5'],1
Nikki McCarter,New Hampshire,['HB619'],1
Nino Mangione,Maryland,['HB359'],1
Norlin Mommsen,Iowa,['HF2'],1
Norman Sanderson,North Carolina,['S49'],1
Ogden Driskill,Wyoming,"[""SF0159'"", ""'SF0172""]",2
Pat Grassley,Iowa,['HF2'],1
Pat Marsh,Tennessee,['HB0001'],1
Pat McGeehan,West Virginia,['HB3503'],1
Patricia Rucker,West Virginia,['SB517'],1
Patricia Spearman,Nevada,['SB302'],1
Patrick Fallon,US,"[""HB734'"", ""'HB5""]",2
Patrick Flannery,Kentucky,"[""HB470'"", ""'HB177""]",2
Patrick Haddon,South Carolina,"[""H3728'"", ""'H3197'"", ""'H3485'"", ""'H3551'"", ""'H3551""]",5
Patti Anderson,Minnesota,['HF551'],1
Paul Bailey,Tennessee,"[""SB0001'"", ""'SB0003""]",2
Paul Bettencourt,Texas,"[""SB249'"", ""'SB14'"", ""'SB15""]",3
Paul Gosar,US,"[""HB429'"", ""'HB734'"", ""'HB1399""]",3
Paul Newton,North Carolina,['S49'],1
Paul Novotny,Minnesota,['HF551'],1
Paul Rose,Tennessee,"[""SB0001'"", ""'SB0003'"", ""'SB0466""]",3
Paul Schemel,Pennsylvania,['HB138'],1
Paul Sherrell,Tennessee,"[""HB0001'"", ""'HB0009'"", ""'HB0030""]",3
Peggy Mayfield,Indiana,['HB1569'],1
Peggy Scott,Minnesota,['HF551'],1
Pepper Ottman,Wyoming,"[""HB0234'"", ""'SF0111'"", ""'SF0172'"", ""'SF0133""]",4
Pete Stauber,US,"[""HB734'"", ""'HB5""]",2
Peter Flores,Texas,['SB15'],1
Phil Jensen,South Dakota,"[""HB1116'"", ""'HB1125'"", ""'HB1208'"", ""'HCR6008'"", ""'HB1080""]",5
Phil King,Texas,"[""SB649'"", ""'SB14'"", ""'SB15""]",3
Phil Plummer,Ohio,"[""HB68'"", ""'HB6""]",2
Philip Gunn,Mississippi,"[""HB1489'"", ""'HB1125""]",2
Philip Moran,Mississippi,['SB2760'],1
Phillip Lowe,South Carolina,['H3728'],1
Phillip Scott,Virginia,"[""HB1387'"", ""'HB1707""]",2
Phillip Wheeler,Kentucky,"[""SB115'"", ""'SB150""]",2
Price Wallace,Mississippi,['HB1127'],1
Public Health and Welfare,Kansas,['SB180'],1
RJ Hawk,Arkansas,['SB294'],1
Rachel Jones,Arizona,"[""SB1694'"", ""'SB1700'"", ""'HB2312'"", ""'SB1698'"", ""'SB1702""]",5
Rachel Plakon,Florida,"[""H1421'"", ""'H1521""]",2
Rachel Rodriguez-Williams,Wyoming,"[""SF0159'"", ""'SF0133""]",2
Rachelle Smit,Michigan,['HB4257'],1
Ralph Hise,North Carolina,['S49'],1
Ralph Massullo,Florida,"[""H1069'"", ""'H1069'"", ""'H1421""]",3
Ralph Norman,US,"[""HB1276'"", ""'HB429'"", ""'HR115'"", ""'HB1399'"", ""'HB5""]",5
Randall Patterson,Mississippi,['HB1125'],1
Randy Boyd,Mississippi,['HB1127'],1
Randy Bridges,Kentucky,"[""HB470'"", ""'HB177'"", ""'HB30""]",3
Randy Feenstra,US,"[""HB734'"", ""'HB5""]",2
Randy Fine,Florida,"[""H1223'"", ""'H1421""]",2
Randy Gross,South Dakota,"[""HB1116'"", ""'HB1125'"", ""'HB1080""]",3
Randy Lemm,North Dakota,['SB2260'],1
Randy Ligon,South Carolina,['H3485'],1
Randy McNally,Tennessee,['SB1339'],1
Randy Robertson,Georgia,"[""SB141'"", ""'SB88""]",2
Randy Smith,West Virginia,['SB697'],1
Randy Weber,US,"[""HB429'"", ""'HB734'"", ""'HR115'"", ""'HB1399""]",4
Raye Felder,South Carolina,['H3728'],1
Raymond Crews,Louisiana,['HB81'],1
Reagan Paul,Maine,['LD678'],1
Rebecca Alexander,Tennessee,['HB0001'],1
Rebecca Burkes,Arkansas,['SB294'],1
Rebecca Raymer,Kentucky,"[""HB470'"", ""'HB177""]",2
Rebecca Reimer,South Dakota,['HB1080'],1
Reggie Smith,Texas,"[""HB1155'"", ""'HB1686'"", ""'HB23'"", ""'HB3164""]",4
Reggie Stoltzfus,Ohio,"[""HB68'"", ""'HB6""]",2
Regina Birdsell,New Hampshire,['SB272'],1
Reuben Tarver,Wyoming,['SF0172'],1
Rex Rice,South Carolina,"[""S0234'"", ""'S0424""]",2
Rex Shipp,Utah,['HB0132'],1
Ric Metzgar,Maryland,['HB359'],1
Richard Hayes,Texas,"[""HB1686'"", ""'HB23'"", ""'HB3164""]",3
Richard Heath,Kentucky,"[""HB470'"", ""'HB177'"", ""'HB30""]",3
Richard Hudson,US,"[""HB734'"", ""'HB5""]",2
Richard McCormick,US,"[""HB734'"", ""'HB1399""]",2
Richard McGrew,Arkansas,['SB294'],1
Richard White,Kentucky,"[""HB177'"", ""'HB30""]",2
Richard Womack,Arkansas,['SB294'],1
Richard Yow,South Carolina,['H3485'],1
Rick Allen,US,"[""HB736'"", ""'HB5""]",2
Rick Beck,Arkansas,"[""SB294'"", ""'SB125""]",2
Rick Brattin,Missouri,"[""SB39'"", ""'SB49'"", ""'SB390'"", ""'SB42'"", ""'SB598""]",5
Rick Eldridge,Tennessee,"[""HB0001'"", ""'HB0009'"", ""'HB0571""]",3
Rick Girdler,Kentucky,"[""SB150'"", ""'SB102""]",2
Rick Hillenbrand,West Virginia,['HB3097'],1
Rick Jasperse,Georgia,['HB653'],1
Rick Lewis,Oregon,['SB897'],1
Rick McClure,Arkansas,"[""SB294'"", ""'HB1468""]",2
Rick Niemeyer,Indiana,['SB0480'],1
Rick Scott,US,['SB200'],1
Ricky Hill,Arkansas,"[""SB294'"", ""'SB43""]",2
Ricky Williams,Georgia,['SB140'],1
Riley Keaton,West Virginia,"[""HB3097'"", ""'HB3503""]",2
Riordan McClain,Ohio,['HB68'],1
Rob Harris,South Carolina,"[""H3728'"", ""'H3197'"", ""'H3485'"", ""'H3551'"", ""'H3551'"", ""'H3616""]",6
Rob Standridge,Oklahoma,"[""SB613'"", ""'SB786'"", ""'SB787'"", ""'SB788'"", ""'SB789""]",5
Robby Robbins,South Carolina,['H3197'],1
Robert Aderholt,US,"[""HB734'"", ""'HR115'"", ""'HB5""]",3
Robert Auth,New Jersey,"[""A1418'"", ""'A1630""]",2
Robert Duvall,Kentucky,['HB30'],1
Robert Good,US,"[""HB734'"", ""'HB1399""]",2
Robert Heaton,Indiana,"[""HB1407'"", ""'HB1608""]",2
Robert Henderson,Iowa,['HF2'],1
Robert Ide,Wyoming,"[""SF0144'"", ""'SF0172""]",2
Robert Karnes,West Virginia,"[""SB103'"", ""'SB253'"", ""'SB697""]",3
Robert Kauffman,Pennsylvania,['HB138'],1
Robert Leadbeter,Pennsylvania,['HB138'],1
Robert May,South Carolina,"[""H3485'"", ""'H3551'"", ""'H3551""]",3
Robert Mills,Kentucky,"[""SB150'"", ""'SB102""]",2
Robert Nichols,Texas,['SB15'],1
Robert Orrock,Virginia,['HB1707'],1
Robert Sampson,Connecticut,"[""SB00467'"", ""'SB00468'"", ""'SB00544""]",3
Robert Wittman,US,"[""HB734'"", ""'HB5""]",2
Robin Grammer,Maryland,['HB359'],1
Robin Lundstrum,Arkansas,"[""HB1156'"", ""'SB294'"", ""'SB43'"", ""'HB1468'"", ""'HB1615""]",5
Rochelle Nguyen,Nevada,['SB302'],1
Rocky De Witt,Iowa,"[""SF83'"", ""'SF110""]",2
Rod Bockenfeld,Colorado,['HB1092'],1
Rodney Creech,Ohio,"[""HB68'"", ""'HB6""]",2
Rodney Montoya,New Mexico,"[""HB394'"", ""'HB490'"", ""'HB492'"", ""'HM57""]",4
Roger Lynch,Arkansas,['SB294'],1
Roger Nutt,South Carolina,"[""H3197'"", ""'H3485'"", ""'H3551'"", ""'H3551""]",4
Roger Williams,US,['HB5'],1
Rollan Roberts,West Virginia,['SB103'],1
Ron Estes,US,"[""HB734'"", ""'HB5""]",2
Ron Ferguson,Ohio,['HB68'],1
Ron Gant,Tennessee,"[""HB0001'"", ""'HB0009""]",2
Ron Weinberg,Colorado,['HB1098'],1
Ronald Caldwell,Arkansas,['SB43'],1
Ronnie Campbell,Virginia,['HB1387'],1
Ronny Jackson,US,"[""HR115'"", ""'HB5""]",2
Roy Klopfenstein,Ohio,"[""HB68'"", ""'HB6""]",2
Roy Magnuson,South Carolina,"[""H3728'"", ""'H3197'"", ""'H3485'"", ""'H3551'"", ""'H3551'"", ""'H3616""]",6
Rudolph Yakym III,US,['HB734'],1
Rules,Alaska,"[""SB96'"", ""'HB105""]",2
Rules and Administration Committee,Idaho,['H0071'],1
Rush Bricken,Tennessee,['HB0001'],1
Russ Goodman,Georgia,['SB140'],1
Russell Webber,Kentucky,"[""HB470'"", ""'HB177'"", ""'HB30""]",3
Rusty Black,Missouri,"[""SB39'"", ""'SB49""]",2
Rusty Crowe,Tennessee,"[""SB0001'"", ""'SB0003""]",2
Rusty Grills,Tennessee,"[""HB0001'"", ""'HB0009'"", ""'HB0239'"", ""'HB0030'"", ""'HB0571""]",5
Ruth Ward,New Hampshire,['SB272'],1
Ryan Armagost,Colorado,['HB1098'],1
Ryan Berger,Wyoming,['SF0133'],1
Ryan Dotson,Kentucky,"[""HB470'"", ""'HB120'"", ""'HB173'"", ""'HB177'"", ""'HB30""]",5
Ryan Guillen,Texas,"[""HB1686'"", ""'HB23""]",2
Ryan Lauer,Indiana,"[""HB1231'"", ""'HB1232""]",2
Ryan Nawrocki,Maryland,['HB359'],1
Ryan Rose,Arkansas,"[""HB1156'"", ""'SB294'"", ""'SB43'"", ""'HB1468""]",4
Ryan Williams,Tennessee,"[""HB0001'"", ""'HB0009'"", ""'HB0030""]",3
Ryan Zinke,US,"[""HB1112'"", ""'HB5""]",2
Sabi Kumar,Tennessee,"[""HB0001'"", ""'HB0239""]",2
Sam Creekmore,Mississippi,['HB1127'],1
Sam Harless,Texas,"[""HB1686'"", ""'HB23""]",2
Sam Watson,Georgia,"[""SB140'"", ""'SB141""]",2
Sandy Crawford,Missouri,['SB49'],1
Sandy Salmon,Iowa,"[""SF159'"", ""'SF83'"", ""'SF110'"", ""'SF129'"", ""'SF348""]",5
Sara Carruthers,Ohio,['HB8'],1
Sarah Fowler Arthur,Ohio,['HB68'],1
Sarah Penn,Wyoming,['HB0234'],1
Savannah Maddox,Kentucky,"[""HB120'"", ""'HB177'"", ""'HB58""]",3
Scott Alexander,Indiana,['SB0480'],1
Scott Cepicky,Tennessee,"[""HB0001'"", ""'HB0009'"", ""'HB1215'"", ""'HB0878""]",4
Scott DeLano,Mississippi,['SB2760'],1
Scott DesJarlais,US,"[""HB734'"", ""'HB5""]",2
Scott Dyk,North Dakota,"[""HB1301'"", ""'HB1526'"", ""'HB1522'"", ""'SB2260""]",4
Scott Fitzgerald,US,"[""HB734'"", ""'HB5""]",2
Scott Flippo,Arkansas,"[""SB294'"", ""'SB43""]",2
Scott Franklin,US,['HB5'],1
Scott Heiner,Wyoming,"[""SF0111'"", ""'SF0144'"", ""'SF0159""]",3
Scott Louser,North Dakota,"[""HB1249'"", ""'HB1489""]",2
Scott Meyer,North Dakota,['SB2231'],1
Scott Moore,South Dakota,"[""HB1116'"", ""'HB1125'"", ""'HB1080""]",3
Scott Odenbach,South Dakota,"[""HB1116'"", ""'HB1125'"", ""'HB1080""]",3
Scott Richardson,Arkansas,"[""SB294'"", ""'SB43""]",2
Scott Sharp,Kentucky,"[""HB470'"", ""'HB177'"", ""'HB30""]",3
Scott Smith,Wyoming,['HB0234'],1
Scott Wiggam,Ohio,"[""HB68'"", ""'HB6""]",2
Scotty Campbell,Tennessee,"[""HB0001'"", ""'HB0009""]",2
Sean Bennett,South Carolina,['S0234'],1
Sean Kean,New Jersey,['A3883'],1
Shane Baker,Kentucky,"[""HB470'"", ""'HB173'"", ""'HB177'"", ""'HB30""]",4
Shane Hudella,Minnesota,['HF551'],1
Shane Jett,Oklahoma,"[""HB2186'"", ""'SB129'"", ""'SB408'"", ""'HB2177'"", ""'SB613'"", ""'SB1004'"", ""'SB1007'"", ""'SB1017'"", ""'SB878'"", ""'SB887'"", ""'SB932'"", ""'SB937'"", ""'SB973""]",13
Shane Mekeland,Minnesota,['HF551'],1
Shane Reeves,Tennessee,"[""SB0001'"", ""'SB0003""]",2
Shane Sirois,New Hampshire,['HB396'],1
Sharon Carson,New Hampshire,['SB272'],1
Shawn McPherson,Kentucky,"[""HB470'"", ""'HB177'"", ""'HB30""]",3
Shawn Still,Georgia,"[""SB140'"", ""'SB141'"", ""'SB88""]",3
Shawn Vedaa,North Dakota,"[""HB1301'"", ""'SB2199'"", ""'SB2199'"", ""'HB1254""]",4
Sheila Seidel,New Hampshire,"[""HB396'"", ""'HB619""]",2
Shelby Slawson,Texas,"[""HB1155'"", ""'HB1686'"", ""'HB23'"", ""'HB3164'"", ""'HB888""]",5
Shelley Frommeyer,Kentucky,"[""SB150'"", ""'SB102'"", ""'SB145""]",3
Shelly Boshart Davis,Oregon,['SB897'],1
Shelly Echols,Georgia,['SB141'],1
Sherrie Conley,Oklahoma,"[""HB1449'"", ""'HB2177""]",2
Skyler Wheeler,Iowa,['HF2'],1
Sonia Eubanks Barker,Arkansas,"[""HB1156'"", ""'SB294'"", ""'SB43""]",3
Sonny Borrelli,Arizona,['SB1694'],1
Spencer Roach,Florida,['H1223'],1
Stacey Donato,Indiana,"[""HB1407'"", ""'HB1569'"", ""'HB1608'"", ""'SB0480'"", ""'SB0487""]",5
Stacey Hobgood-Wilkes,Mississippi,"[""HB1144'"", ""'HB1476'"", ""'HB576""]",3
Stacy Jones,Wyoming,['SF0133'],1
Stan Gerdes,Texas,"[""HB1155'"", ""'HB1686'"", ""'HB23'"", ""'HB3164""]",4
Stan Kitzman,Texas,"[""HB1155'"", ""'HB1686'"", ""'HB23'"", ""'HB3164""]",4
Stan Lambert,Texas,['HB1686'],1
Stan McClain,Florida,"[""H1069'"", ""'H1069""]",2
State Affairs Committee,Idaho,"[""S1016'"", ""'S1003""]",2
Stephanie Bice,US,['HB5'],1
Stephanie Gricius,Utah,['SB0100'],1
Stephanie Klick,Texas,"[""HB1686'"", ""'HB23""]",2
Stephen Allison,Texas,"[""HB1686'"", ""'HB23""]",2
Stephen Meeks,Arkansas,['SB294'],1
Stephen Meredith,Kentucky,['SB150'],1
Stephenie Scialabba,Pennsylvania,['HB138'],1
Stetson Painter,Arkansas,['SB294'],1
Steve Bratcher,Kentucky,"[""HB470'"", ""'HB177""]",2
Steve Carra,Michigan,"[""HB4195'"", ""'HB4257""]",2
Steve Crowell,Arkansas,['SB294'],1
Steve Daines,US,"[""SB187'"", ""'SB635""]",2
Steve Demetriou,Ohio,"[""HB68'"", ""'HB6""]",2
Steve Gooch,Georgia,['SB141'],1
Steve Green,Minnesota,['SF311'],1
Steve Harshman,Wyoming,['SF0133'],1
Steve Hollowell,Arkansas,['SB294'],1
Steve Hopkins,Mississippi,['HB1125'],1
Steve Jarvis,North Carolina,['S49'],1
Steve Massengill,Mississippi,['HB456'],1
Steve Rawlings,Kentucky,"[""HB470'"", ""'HB173'"", ""'HB177'"", ""'HB30'"", ""'HB58""]",5
Steve Scalise,US,['HB5'],1
Steve Toth,Texas,"[""HB1155'"", ""'HB122'"", ""'HB1541'"", ""'HB1686'"", ""'HB1752'"", ""'HB1952'"", ""'HB23'"", ""'HB3164'"", ""'HB41'"", ""'HB631'"", ""'HB5236'"", ""'HB5256'"", ""'HB4378'"", ""'HB5235""]",14
Steve Tyson,North Carolina,['H43'],1
Steve Unger,Arkansas,"[""SB294'"", ""'HB1615""]",2
Steven Arentz,Maryland,['HB359'],1
Steven Bradley,Iowa,['HF2'],1
Steven Doan,Kentucky,"[""HB173'"", ""'HB177'"", ""'HB30""]",3
Steven Holt,Iowa,['HF2'],1
Steven Long,South Carolina,"[""H3728'"", ""'H3485'"", ""'H3551'"", ""'H3551""]",4
Steven Oroho,New Jersey,"[""S585'"", ""'S589""]",2
Steven Rudy,Kentucky,['HB470'],1
Stewart Jones,South Carolina,"[""H3728'"", ""'H3197'"", ""'H3485'"", ""'H3551'"", ""'H3551'"", ""'H3616'"", ""'H3730""]",7
Stuart Schmidt,Maryland,['HB359'],1
SuAnn Olson,North Dakota,"[""HB1139'"", ""'HB1473'"", ""'HB1474'"", ""'HB1489'"", ""'HCR3010""]",5
Sue Lucas-Peterson,South Dakota,['HB1080'],1
Susan Lynn,Tennessee,"[""HB0001'"", ""'HB0009'"", ""'HB0030'"", ""'HB0878""]",4
Susan Manchester,Ohio,"[""HB68'"", ""'HB6""]",2
Susan McComas,Maryland,['HB359'],1
Susan Tyler Witten,Kentucky,"[""HB173'"", ""'HB177""]",2
Sylleste Davis,South Carolina,"[""H3197'"", ""'H3551'"", ""'H3551'"", ""'H3827""]",4
Tamara Trujillo,Wyoming,['SF0133'],1
Tammy Nichols,Idaho,['H0071'],1
Tammy Schmersal-Burgess,Maine,['LD678'],1
Tammy Townley,Oklahoma,['HB1449'],1
Tan Parker,Texas,"[""SB1029'"", ""'SB249'"", ""'SB250'"", ""'SB625'"", ""'SB14'"", ""'SB15""]",6
Tandy Darby,Tennessee,['HB0001'],1
Tara Durant,Virginia,"[""HB1387'"", ""'HB1707'"", ""'HB2432""]",3
Taylor Collins,Iowa,['HF2'],1
Taylor Yarkosky,Florida,['H1265'],1
Ted Alexander,North Carolina,['S49'],1
Ted Budd,US,['SB435'],1
