Sponsors,State,Number,Count
Brooks Landgraf,Texas,"[""HB1686'"", ""'HB23""]",2
Bruce Bannister,South Carolina,['H3728'],1
Bruce Borders,Indiana,['HB1525'],1
Bruce Cozart,Arkansas,['SB294'],1
Bruce Westerman,US,['HB734'],1
Bryan Hughes,Texas,"[""SB476'"", ""'SB1690'"", ""'SB14'"", ""'SB15""]",4
Bryan Richey,Tennessee,"[""HB0001'"", ""'HB0009'"", ""'HB0030'"", ""'HB0878""]",4
Bryan Slaton,Texas,"[""HB1686'"", ""'HB23'"", ""'HB42'"", ""'HB4129""]",4
Bryan Steil,US,['HB5'],1
Bryce Reeves,Virginia,"[""SB1186'"", ""'SB1203'"", ""'SB960'"", ""'SB962""]",4
Buck Newton,North Carolina,['S49'],1
Bud Hulsey,Tennessee,"[""HB0001'"", ""'HB0878""]",2
Burgess Owens,US,"[""HB734'"", ""'HR115'"", ""'HB5""]",3
Byron Callies,South Dakota,['HB1080'],1
Byron Pelton,Colorado,['HB1098'],1
Caleb Hanna,West Virginia,"[""HB2923'"", ""'HB3503""]",2
Cally Forrest,South Carolina,['H3485'],1
Cameron Cooper,Arkansas,"[""SB294'"", ""'SB43'"", ""'HB1615""]",3
Cameron Sexton,Tennessee,"[""HB0001'"", ""'HB1215""]",2
Candy Massaroni,Kentucky,"[""HB470'"", ""'HB173'"", ""'HB177'"", ""'HB30""]",4
Candy Noble,Texas,"[""HB1155'"", ""'HB1686'"", ""'HB23'"", ""'HB3164'"", ""'HB888""]",5
Carden Summers,Georgia,"[""SB140'"", ""'SB141'"", ""'SB88""]",3
Carl Ford,North Carolina,['S49'],1
Carl Glimm,Montana,"[""SB413'"", ""'SB458""]",2
Carl Martin,West Virginia,['HB3097'],1
Carl Perry,South Dakota,"[""HB1116'"", ""'HB1125'"", ""'HB1208'"", ""'HCR6008'"", ""'HB1080""]",5
Carl Tepper,Texas,"[""HB1155'"", ""'HB1686'"", ""'HB23'"", ""'HB3164""]",4
Carlos Gimenez,US,"[""HB734'"", ""'HB5""]",2
Carlton Wing,Arkansas,['SB294'],1
Caroline Harris,Texas,"[""HB1155'"", ""'HB1686'"", ""'HB23""]",3
Carrie Gendreau,New Hampshire,['SB272'],1
Carrie Isaac,Texas,"[""HB1155'"", ""'HB1686'"", ""'HB23'"", ""'HB3164'"", ""'HB888""]",5
Carson Smith,North Carolina,['H43'],1
