,State,Abbreviation,Number,URL
122,Missouri,MO,HB192,https://legiscan.com/MO/bill/HB192/2023
123,Missouri,MO,HB337,https://legiscan.com/MO/bill/HB337/2023
124,Missouri,MO,HB419,https://legiscan.com/MO/bill/HB419/2023
125,Missouri,MO,HB463,https://legiscan.com/MO/bill/HB463/2023
126,Missouri,MO,HB498,https://legiscan.com/MO/bill/HB498/2023
127,Missouri,MO,HB540,https://legiscan.com/MO/bill/HB540/2023
128,Missouri,MO,HB634,https://legiscan.com/MO/bill/HB634/2023
129,Missouri,MO,HB916,https://legiscan.com/MO/bill/HB916/2023
130,Missouri,MO,SB134,https://legiscan.com/MO/bill/SB134/2023
131,Missouri,MO,SB14,https://legiscan.com/MO/bill/SB14/2023
132,Missouri,MO,SB164,https://legiscan.com/MO/bill/SB164/2023
133,Missouri,MO,SB165,https://legiscan.com/MO/bill/SB165/2023
134,Missouri,MO,SB2,https://legiscan.com/MO/bill/SB2/2023
135,Missouri,MO,SB236,https://legiscan.com/MO/bill/SB236/2023
136,Missouri,MO,SB281,https://legiscan.com/MO/bill/SB281/2023
137,Missouri,MO,SB29,https://legiscan.com/MO/bill/SB29/2023
138,Missouri,MO,SB377,https://legiscan.com/MO/bill/SB377/2023
139,Missouri,MO,SB39,https://legiscan.com/MO/bill/SB39/2023
140,Missouri,MO,SB390,https://legiscan.com/MO/bill/SB390/2023
141,Missouri,MO,SB42,https://legiscan.com/MO/bill/SB42/2023
142,Missouri,MO,SB429,https://legiscan.com/MO/bill/SB429/2023
143,Missouri,MO,SB430,https://legiscan.com/MO/bill/SB430/2023
144,Missouri,MO,SB436,https://legiscan.com/MO/bill/SB436/2023
145,Missouri,MO,SB48,https://legiscan.com/MO/bill/SB48/2023
146,Missouri,MO,SB49,https://legiscan.com/MO/bill/SB49/2023
147,Missouri,MO,SB497,https://legiscan.com/MO/bill/SB497/2023
148,Missouri,MO,SB598,https://legiscan.com/MO/bill/SB598/2023
149,Missouri,MO,SB87,https://legiscan.com/MO/bill/SB87/2023
150,Missouri,MO,HB1157,https://legiscan.com/MO/bill/HB1157/2023
151,Missouri,MO,HB1258,https://legiscan.com/MO/bill/HB1258/2023
152,Montana,MT,HB234,https://legiscan.com/MT/bill/HB234/2023
153,Montana,MT,HB303,https://legiscan.com/MT/bill/HB303/2023
154,Montana,MT,HB359,https://legiscan.com/MT/bill/HB359/2023
155,Montana,MT,HB361,https://legiscan.com/MT/bill/HB361/2023
156,Montana,MT,SB99,https://legiscan.com/MT/bill/SB99/2023
157,Montana,MT,SB413,https://legiscan.com/MT/bill/SB413/2023
158,Montana,MT,SB458,https://legiscan.com/MT/bill/SB458/2023
159,Nebraska,NE,LB371,https://legiscan.com/NE/bill/LB371/2023
160,Nebraska,NE,LB574,https://legiscan.com/NE/bill/LB574/2023
161,Nebraska,NE,LB575,https://legiscan.com/NE/bill/LB575/2023
162,Nebraska,NE,LB743,https://legiscan.com/NE/bill/LB743/2023
163,Nebraska,NE,LB810,https://legiscan.com/NE/bill/LB810/2023
164,New Hampshire,NH,HB396,https://legiscan.com/NH/bill/HB396/2023
165,New Hampshire,NH,HB619,https://legiscan.com/NH/bill/HB619/2023
