,State,Abbreviation,Number,URL,Bill ID,Doc ID,Bill Text
68,Iowa,IA,HF325,https://legiscan.com/IA/bill/HF325/2023,1709280,,
69,Kansas,KS,HB2238,https://legiscan.com/KS/bill/HB2238/2023,1688145,,
70,Kansas,KS,HB2404,https://legiscan.com/KS/bill/HB2404/2023,1703141,,
71,Kansas,KS,HB2427,https://legiscan.com/KS/bill/HB2427/2023,1710783,,
72,Kansas,KS,SB12,https://legiscan.com/KS/bill/SB12/2023,1644117,,
73,Kansas,KS,SB149,https://legiscan.com/KS/bill/SB149/2023,1693313,,
74,Kansas,KS,SB180,https://legiscan.com/KS/bill/SB180/2023,1698406,,
75,Kansas,KS,SB201,https://legiscan.com/KS/bill/SB201/2023,1698684,,
76,Kansas,KS,SB207,https://legiscan.com/KS/bill/SB207/2023,1700859,,
77,Kansas,KS,SB224,https://legiscan.com/KS/bill/SB224/2023,1702612,,
78,Kansas,KS,SB233,https://legiscan.com/KS/bill/SB233/2023,1704027,,
79,Kansas,KS,SB255,https://legiscan.com/KS/bill/SB255/2023,1709030,,
80,Kansas,KS,HB2436,https://legiscan.com/KS/bill/HB2436/2023,1717961,,
81,Kentucky,KY,HB120,https://legiscan.com/KY/bill/HB120/2023,1644187,,
82,Kentucky,KY,HB173,https://legiscan.com/KY/bill/HB173/2023,1698754,,
83,Kentucky,KY,HB177,https://legiscan.com/KY/bill/HB177/2023,1698847,,
84,Kentucky,KY,HB30,https://legiscan.com/KY/bill/HB30/2023,1642113,,
85,Kentucky,KY,HB58,https://legiscan.com/KY/bill/HB58/2023,1642138,,
86,Kentucky,KY,SB102,https://legiscan.com/KY/bill/SB102/2023,1700889,,
87,Kentucky,KY,SB115,https://legiscan.com/KY/bill/SB115/2023,1703927,,
88,Kentucky,KY,SB150,https://legiscan.com/KY/bill/SB150/2023,1700608,,
89,Kentucky,KY,HB470,https://legiscan.com/KY/bill/HB470/2023,1717460,,
90,Kentucky,KY,HB585,https://legiscan.com/KY/bill/HB585/2023,1718825,,
91,Maryland,MD,HB359,https://legiscan.com/MD/bill/HB359/2023,1681678,,
92,Minnesota,MN,HF1903,https://legiscan.com/MN/bill/HF1903/2023,1710675,,
93,Minnesota,MN,SF311,https://legiscan.com/MN/bill/SF311/2023,1659057,,
94,Minnesota,MN,SF933,https://legiscan.com/MN/bill/SF933/2023,1684998,,
95,Mississippi,MS,HB1074,https://legiscan.com/MS/bill/HB1074/2023,1668972,,
96,Mississippi,MS,HB1099,https://legiscan.com/MS/bill/HB1099/2023,1669732,,
97,Mississippi,MS,HB1124,https://legiscan.com/MS/bill/HB1124/2023,1668884,,
98,Mississippi,MS,HB1125,https://legiscan.com/MS/bill/HB1125/2023,1668851,,
99,Mississippi,MS,HB1126,https://legiscan.com/MS/bill/HB1126/2023,1669143,,
100,Mississippi,MS,HB1127,https://legiscan.com/MS/bill/HB1127/2023,1668816,,
101,Mississippi,MS,HB1144,https://legiscan.com/MS/bill/HB1144/2023,1670368,,
102,Mississippi,MS,HB1258,https://legiscan.com/MS/bill/HB1258/2023,1672999,,
103,Mississippi,MS,HB1476,https://legiscan.com/MS/bill/HB1476/2023,1682551,,
104,Mississippi,MS,HB1480,https://legiscan.com/MS/bill/HB1480/2023,1682988,,
