,State,Abbreviation,Number,URL,Bill ID,Doc ID,Bill Text
132,Missouri,MO,SB164,https://legiscan.com/MO/bill/SB164/2023,1635148,2632040.0,
133,Missouri,MO,SB165,https://legiscan.com/MO/bill/SB165/2023,1635152,2631290.0,
134,Missouri,MO,SB2,https://legiscan.com/MO/bill/SB2/2023,1635118,2631343.0,
135,Missouri,MO,SB236,https://legiscan.com/MO/bill/SB236/2023,1634951,2631144.0,
136,Missouri,MO,SB281,https://legiscan.com/MO/bill/SB281/2023,1635035,2631207.0,
137,Missouri,MO,SB29,https://legiscan.com/MO/bill/SB29/2023,1635010,2632030.0,
138,Missouri,MO,SB377,https://legiscan.com/MO/bill/SB377/2023,1640406,2632039.0,
139,Missouri,MO,SB39,https://legiscan.com/MO/bill/SB39/2023,1635120,2632051.0,
140,Missouri,MO,SB390,https://legiscan.com/MO/bill/SB390/2023,1640400,2631186.0,
141,Missouri,MO,SB42,https://legiscan.com/MO/bill/SB42/2023,1634897,2631273.0,
142,Missouri,MO,SB429,https://legiscan.com/MO/bill/SB429/2023,1642746,2631203.0,
143,Missouri,MO,SB430,https://legiscan.com/MO/bill/SB430/2023,1642725,2632065.0,
144,Missouri,MO,SB436,https://legiscan.com/MO/bill/SB436/2023,1642710,2632211.0,
145,Missouri,MO,SB48,https://legiscan.com/MO/bill/SB48/2023,1634938,2630465.0,
146,Missouri,MO,SB49,https://legiscan.com/MO/bill/SB49/2023,1635057,2631259.0,
147,Missouri,MO,SB497,https://legiscan.com/MO/bill/SB497/2023,1663442,2645221.0,
148,Missouri,MO,SB598,https://legiscan.com/MO/bill/SB598/2023,1696931,2684043.0,
149,Missouri,MO,SB87,https://legiscan.com/MO/bill/SB87/2023,1635076,2631313.0,
150,Missouri,MO,HB1157,https://legiscan.com/MO/bill/HB1157/2023,1706696,2699209.0,
151,Missouri,MO,HB1258,https://legiscan.com/MO/bill/HB1258/2023,1719285,2716421.0,
152,Montana,MT,HB234,https://legiscan.com/MT/bill/HB234/2023,1655847,2639304.0,
153,Montana,MT,HB303,https://legiscan.com/MT/bill/HB303/2023,1674726,2658675.0,
154,Montana,MT,HB359,https://legiscan.com/MT/bill/HB359/2023,1685019,2672749.0,
155,Montana,MT,HB361,https://legiscan.com/MT/bill/HB361/2023,1685027,2672027.0,
156,Montana,MT,SB99,https://legiscan.com/MT/bill/SB99/2023,1641379,2621731.0,
157,Montana,MT,SB413,https://legiscan.com/MT/bill/SB413/2023,1715495,2709440.0,
158,Montana,MT,SB458,https://legiscan.com/MT/bill/SB458/2023,1717719,2712718.0,
159,Nebraska,NE,LB371,https://legiscan.com/NE/bill/LB371/2023,1656195,2637365.0,
160,Nebraska,NE,LB574,https://legiscan.com/NE/bill/LB574/2023,1662540,2644341.0,
161,Nebraska,NE,LB575,https://legiscan.com/NE/bill/LB575/2023,1662403,2644208.0,
162,Nebraska,NE,LB743,https://legiscan.com/NE/bill/LB743/2023,1665462,2647320.0,
163,Nebraska,NE,LB810,https://legiscan.com/NE/bill/LB810/2023,1665899,2647729.0,
164,New Hampshire,NH,HB396,https://legiscan.com/NH/bill/HB396/2023,1646387,2629610.0,
