,State,Abbreviation,Number,URL,Bill ID,Sponsors
50,Indiana,IN,HB1608,https://legiscan.com/IN/bill/HB1608/2023,1671425,"['Michelle Davis', 'Jake Teshka', 'Chris Jeter', 'Robert Heaton', 'Stacey Donato', 'Jeff Raatz', 'Gary Byrne']"
51,Indiana,IN,SB0354,https://legiscan.com/IN/bill/SB0354/2023,1655679,['Jeff Raatz']
52,Indiana,IN,SB0413,https://legiscan.com/IN/bill/SB0413/2023,1665406,"['Gary Byrne', 'Blake Doriot']"
53,Indiana,IN,SB0480,https://legiscan.com/IN/bill/SB0480/2023,1671449,"['Tyler Johnson', 'Ed Charbonneau', 'Gary Byrne', 'Stacey Donato', 'Blake Doriot', 'Mike Gaskill', 'James Buck', 'Aaron Freeman', 'Jeff Raatz', 'Andy Zay', 'Greg Walker', 'Mark Messmer', 'Jack Sandlin', 'Linda Rogers', 'James Tomes', 'Rick Niemeyer', 'Brian Buchanan', 'Scott Alexander', 'John Crane', 'Michael Young', 'Joanna King', 'Michelle Davis']"
54,Indiana,IN,SB0487,https://legiscan.com/IN/bill/SB0487/2023,1671534,['Stacey Donato']
55,Indiana,IN,HB1569,https://legiscan.com/IN/bill/HB1569/2023,1671533,"['Peggy Mayfield', 'Joanna King', 'Stacey Donato']"
56,Indiana,IN,HB1589,https://legiscan.com/IN/bill/HB1589/2023,1671517,['Julie McGuire']
57,Iowa,IA,HF180,https://legiscan.com/IA/bill/HF180/2023,1689864,['Education']
58,Iowa,IA,HF180,https://legiscan.com/IA/bill/HF180/2023,1689864,['Education']
59,Iowa,IA,HF2,https://legiscan.com/IA/bill/HF2/2023,1652323,"['Henry Stone', 'Steven Holt', 'Skyler Wheeler', 'Taylor Collins', 'Tom Moore', 'Thomas Jeneary', 'Mike Vondran', 'Dean Fisher', 'Joshua Meggers', 'Derek Wulf', 'Jeff Shipley', 'Steven Bradley', 'Cindy Golding', 'Martin Graber', 'Craig Johnson', 'Dave Deyoe', 'Norlin Mommsen', 'Brooke Boden', 'Bobby Kaufmann', 'Joel Fry', 'Eddie Andrews', 'Charley Thomson', 'Robert Henderson', 'Devon Wood', 'Heather Hora', 'Anne Osmundson', 'Matt Windschitl', 'Pat Grassley', 'Jacob Bossman', 'Thomas Gerhold']"
60,Iowa,IA,HF8,https://legiscan.com/IA/bill/HF8/2023,1652433,"['Skyler Wheeler', 'Steven Holt', 'Henry Stone', 'Norlin Mommsen', 'Taylor Collins', 'Dean Fisher', 'Bill Gustoff', 'Thomas Jeneary', 'Mike Vondran', 'Derek Wulf', 'Steven Bradley', 'Joshua Meggers', 'Barb Kniff McCulla', 'Cindy Golding', 'Dave Deyoe', 'Martin Graber', 'Phil Thompson', 'John Wills', 'Stan Gustafson', 'Craig Johnson', 'Brooke Boden', 'Austin Harris', 'Bobby Kaufmann', 'Joel Fry', 'Carter Nordman', 'David Young', 'Robert Henderson', 'Heather Hora', 'Devon Wood', 'Anne Osmundson', 'Matt Windschitl', 'Pat Grassley', 'Thomas Gerhold']"
61,Iowa,IA,SF110,https://legiscan.com/IA/bill/SF110/2023,1675505,"['Sandy Salmon', 'Lynn Evans', 'Kevin Alons', 'Jesse Green', 'Cherielynn Westrich', 'Jeff Taylor', 'Dennis Guth', 'Rocky De Witt', 'Dave Rowley']"
62,Iowa,IA,SF129,https://legiscan.com/IA/bill/SF129/2023,1679538,['Sandy Salmon']
63,Iowa,IA,SF159,https://legiscan.com/IA/bill/SF159/2023,1683643,['Sandy Salmon']
64,Iowa,IA,SF83,https://legiscan.com/IA/bill/SF83/2023,1662343,"['Jeff Taylor', 'Dennis Guth', 'Mark Lofgren', 'Julian Garrett', 'Cherielynn Westrich', 'Dave Rowley', 'Brad Zaun', 'Sandy Salmon', 'Ken Rozenboom', 'Jesse Green', 'Lynn Evans', 'Rocky De Witt', 'Kevin Alons', 'Annette Sweeney', 'Jeff Reichman', 'Chris Cournoyer']"
