Sponsors,State,Number
Chris Cournoyer,Iowa,['SF83']
Chris Freeland,Kentucky,"['HB177', 'HB30']"
Chris Fugate,Kentucky,"['HB470', 'HB173', 'HB177', 'HB30']"
Chris Head,Virginia,['HB1387']
Chris Hurt,Tennessee,['HB0571']
Chris Jeter,Indiana,"['HB1407', 'HB1608']"
Chris Karr,South Dakota,"['HB1116', 'HB1125', 'HB1080']"
Chris McDaniel,Mississippi,"['SB2760', 'SB2764', 'SB2861', 'SB2864']"
Chris Phillips,West Virginia,"['HB3097', 'HB3503']"
Chris Pritt,West Virginia,"['HB2923', 'HB2972', 'HB2998', 'HB3001', 'HB3503']"
Chris Runion,Virginia,"['HB1387', 'HB2432']"
Chris Sneed,Oklahoma,['HB1466']
Chris Todd,Tennessee,"['HB0001', 'HB0009', 'HB0030', 'HB0878', 'HB1414']"
Chris Tomlinson,Maryland,['HB359']
Christine Goodwin,Oregon,"['HB2186', 'HB2477', 'HB3137', 'SB897']"
Christopher Adams,Maryland,['HB359']
Christopher Bouchat,Maryland,['HB359']
Christopher DePhillips,New Jersey,"['A1418', 'A3883']"
Christopher Judy,Indiana,['HB1220']
Christopher Murphy,South Carolina,['H3197']
Christopher Smith,US,"['HB734', 'HB5']"
Christopher Wooten,South Carolina,"['H3551', 'H3551']"
Chuck Edwards,US,['HB5']
Chuck Horst,West Virginia,['HB2007']
Chuck Payne,Georgia,"['SB140', 'SB88']"
Cindy Crawford,Arkansas,"['HB1156', 'SB270', 'SB294', 'SB43', 'HB1468', 'HB1615']"
Cindy Golding,Iowa,['HF2']
Cindy Hyde-Smith,US,"['SB200', 'SR53']"
Cindy O'Laughlin,Missouri,['SB49']
Claire Cory,North Dakota,"['HB1249', 'SB2231']"
Clarence Styvar,Wyoming,"['SF0111', 'SF0133']"
Clark Boyd,Tennessee,"['HB0001', 'HB0571']"
Clark Stith,Wyoming,['HB0187']
Claudia Tenney,US,"['HB734', 'HR115', 'HB5']"
Clay Doggett,Tennessee,"['HB0001', 'HB0030']"
Clay Higgins,US,"['HB734', 'HB1399', 'HB5']"
Clay Yarborough,Florida,"['S0254', 'S1320']"
Clint Dixon,Georgia,"['SB140', 'SB141', 'SB88']"
Clint Penzo,Arkansas,"['SB294', 'SB43']"
Clinton Owlett,Pennsylvania,['HB138']
Cody Harris,Texas,"['HB1155', 'HB1686', 'HB23', 'HB3164']"
Cody Maynard,Oklahoma,['HB2177']
Cody Rogers,Oklahoma,"['SB408', 'SB613', 'SB131', 'SB30']"
Cody Vasut,Texas,"['HB1155', 'HB1686', 'HB23', 'HB3164']"
Cole Christensen,North Dakota,"['HB1474', 'HB1522']"
Cole Conley,North Dakota,['HB1139']
Cole Hefner,Texas,"['HB1155', 'HB1686', 'HB23', 'HB3164', 'HB672']"
Colin Jack,Utah,['HB0329']
Collin Duel,Oklahoma,['HB2736']
Colton Moore,Georgia,"['SB140', 'SB141', 'SB88']"
Cory McGarr,Arizona,"['SB1694', 'SB1700', 'HB2312', 'SB1698', 'SB1702']"
Craig Goldman,Texas,"['HB1686', 'HB23']"
Craig Johnson,Iowa,['HF2']
Craig Staats,Pennsylvania,['HB138']
Curtis Bramble,Utah,['HB0228']
Curtis Trent,Missouri,"['SB39', 'SB49']"
Cyndi Buchheit-Courtway,Missouri,['HB916']
Cyndy Jacobsen,Washington,['HB1233']
Cynthia Lummis,US,['SR53']
Cynthia Roe,Oklahoma,['HB1449']
Cyrus Javadi,Oregon,['HB3137']
Cyrus Western,Wyoming,['HB0187']
D. J. Swearingen,Ohio,"['HB68', 'HB8']"
DJ Johnson,Kentucky,"['HB470', 'HB177', 'HB30']"
Dale DeVon,Indiana,"['HB1407', 'HB1220']"
Dale Hawkins,Idaho,['H0071']
Dallas Harris,Nevada,['SB302']
Dalton Banks,Wyoming,['SF0111']
Dan Bishop,US,['HB429']
Dan Crenshaw,US,"['HB734', 'HB5']"
Dan Daley,Florida,['H1269']
Dan Dockstader,Wyoming,"['SF0117', 'SF0133']"
Dan Eubanks,Mississippi,"['HB1258', 'HB1125']"
Dan Howell,Tennessee,"['HB0001', 'HB0009', 'HB0030', 'HB0878']"
Dan Laursen,Wyoming,"['SF0144', 'SF0172']"
Dan Meuser,US,['HB5']
Dan Newhouse,US,['HB5']
Dan Ruby,North Dakota,"['HB1332', 'HB1297', 'HB1333']"
Dan Sullivan,Arkansas,"['HB1156', 'SB294', 'SB43']"
Dana Criswell,Mississippi,['HB1099']
Daniel Elliott,Kentucky,['HB470']
Daniel Fister,Kentucky,"['HB470', 'HB177', 'HB30']"
Daniel Foreman,Idaho,['H0071']
Daniel Gibson,South Carolina,"['H3551', 'H3551']"
Daniel Innis,New Hampshire,['SB272']
Daniel McCay,Utah,['SB0093']
Daniel Singh,Wyoming,['SF0172']
Daniel Webster,US,['HB734']
Danny Bentley,Kentucky,"['HB177', 'HB30']"
Danny Carroll,Kentucky,['SB150']
Danny Verdin,South Carolina,"['S0274', 'S0276', 'S0364', 'S0623', 'S0624']"
Danny Watson,Arkansas,"['SB294', 'HB1615']"
Danny Williams,Oklahoma,"['HB2546', 'HB1781']"
Darin LaHood,US,"['HB734', 'HB5']"
Darlene Taylor,Georgia,['HB653']
Darrell Kick,Ohio,"['HB68', 'HB6']"
Darren Thorne,West Virginia,['HB3176']
Daryl Abbas,New Hampshire,['SB272']
Dave Deyoe,Iowa,['HF2']
Dave LaRock,Virginia,"['HB1387', 'HB2432']"
Dave Murman,Nebraska,"['LB371', 'LB810']"
Dave Rowley,Iowa,"['SF83', 'SF110']"
Dave Testerman,New Hampshire,['HB417']
David Abbott,Indiana,['HB1231']
David Adkins,West Virginia,['HB2007']
